engine,process,pid,core,predicted_ns
FNN,wrapper-2.0,1129,0,5000000
FNN,wrapper-2.0,1134,0,5000000
FNN,polkit-mate-aut,1156,0,5000000
FNN,xcape,1157,0,5000000
FNN,blueman-applet,1159,0,5000000
FNN,agent,1164,0,5000000
FNN,xiccd,1167,0,5000000
FNN,xfce4-screensav,1173,0,5000000
FNN,applet.py,1179,0,5000000
FNN,xfce4-power-man,1180,0,5000000
FNN,colord,1184,0,5000000
FNN,nm-applet,1196,0,5000000
FNN,xfce4-notifyd,1199,0,5000000
FNN,upowerd,1231,0,5000000
FNN,gvfs-udisks2-vo,1287,0,5000000
FNN,udisksd,1293,0,5000000
FNN,gvfs-afc-volume,1322,0,5000000
FNN,gvfs-mtp-volume,1328,0,5000000
FNN,gvfs-gphoto2-vo,1336,0,5000000
FNN,gvfs-goa-volume,1343,0,5000000
FNN,obexd,1352,0,5000000
FNN,gvfsd-metadata,1353,0,5000000
FNN,gvfsd-trash,1357,0,5000000
FNN,qterminal,2402,0,5000000
FNN,xdg-desktop-por,2404,0,5000000
FNN,xdg-permission-,2410,0,5000000
FNN,xdg-document-po,2418,0,5000000
FNN,fusermount3,2424,0,5000000
FNN,xdg-desktop-por,2430,0,5000000
FNN,zsh,2437,0,5000000
FNN,qterminal,36419,0,5000000
FNN,zsh,36426,0,5000000
FNN,python3,42876,2,30000000
FNN,kworker/1:1H,44820,2,30000000
FNN,qterminal,52748,0,5000000
FNN,zsh,52755,0,5000000
FNN,kworker/u10:3,56188,0,5000000
FNN,kworker/u10:5,56190,0,5000000
FNN,qterminal,56859,2,30000000
FNN,zsh,56866,0,5000000
FNN,zsh,62138,0,5000000
FNN,command-not-fou,62140,0,5000000
FNN,kworker/1:3,65242,0,5000000
FNN,kworker/1:0H,68125,2,30000000
FNN,kworker/1:2,68976,0,5000000
FNN,kworker/0:2,69035,0,5000000
FNN,kworker/0:3,74418,0,5000000
FNN,python3,79328,2,30000000
WPBA,kworker/1:2H,81126,1,49999997
WPBA,kworker/1:0,82992,1,49987299
WPBA,xfconfd,83259,1,49465460
FNN,systemd,1,0,5000000
FNN,kthreadd,2,0,5000000
FNN,pool_workqueue_,3,0,5000000
